1 2 3 4 5 6 7 8
version_number compiler build MESA_SDK_version math_backend date burn_min1 burn_min2
"12778" "gfortran" "9.2.0" "x86_64-linux-20.3.2" "CRMATH" "20241027" 5.0000000000000000E+001 1.0000000000000000E+003

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57
model_number star_age star_mass log_L log_R log_Teff log_center_T log_center_Rho log_center_P center_h1 center_he3 center_he4 center_c12 center_n14 center_o16 center_ne20 center_mg24 center_si28 center_s32 center_ar36 center_ca40 center_ti44 center_cr48 center_fe52 center_fe54 center_fe56 center_ni56 center_degeneracy center_ye center_entropy compactness_parameter dynamic_timescale kh_timescale nuc_timescale pp cno tri_alfa log_LH log_LHe log_LZ log_Lneu he_core_mass c_core_mass o_core_mass si_core_mass fe_core_mass he_core_radius c_core_radius o_core_radius si_core_radius fe_core_radius max_abs_v_velocity surf_avg_omega_div_omega_crit log_total_angular_momentum surf_avg_omega surf_avg_v_rot star_mdot
1 1.0000000000000001E-005 2.9999999999999977E-001 1.1686050821160237E+000 9.5803246057296587E-001 3.5747644584688363E+000 5.4773381058920156E+000 -2.2617832708489334E+000 1.1331508762237737E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -5.7043414620871813E+000 8.5000496627254163E-001 2.1648922359457067E+001 0.0000000000000000E+000 5.0005944553619163E+005 1.5782816447041210E+004 2.0347739669724533E+008 -2.0351073261668759E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0351073261668759E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1748939774894612E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.7892537318254464E-011
2 2.2000000000000003E-005 2.9999999999999954E-001 1.1673423337796969E+000 9.5801468334550266E-001 3.5744576599984863E+000 5.4773381115220179E+000 -2.2617832571193763E+000 1.1331508781661819E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -5.7043414494585818E+000 8.5000496627254163E-001 2.1648922340106978E+001 0.0000000000000000E+000 5.0002874264459457E+005 1.5829421055907713E+004 2.0406988556313512E+008 -2.0351073290789721E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0351073290789721E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1748939804015563E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.7847454329384188E-011
3 3.6400000000000004E-005 2.9999999999999927E-001 1.1658950651249851E+000 9.5799415460672699E-001 3.5741061072041957E+000 5.4773381181456324E+000 -2.2617832413775947E+000 1.1331508804108021E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274607E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -5.7043414355405453E+000 8.5000496627254141E-001 2.1648922318904074E+001 0.0000000000000000E+000 4.9999328998759930E+005 1.5883010707994314E+004 2.0475107452364352E+008 -2.0351073322455171E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0351073322455171E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1748939835681000E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.7794908274456062E-011
4 5.3680000000000001E-005 2.9999999999999905E-001 1.1642568815981309E+000 9.5797063433844987E-001 3.5737083214566208E+000 5.4773381258887568E+000 -2.2617832234681052E+000 1.1331508829860962E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -5.7043414203971476E+000 8.5000496627254141E-001 2.1648922295991166E+001 0.0000000000000000E+000 4.9995267411811656E+005 1.5943898923484165E+004 2.0552486571585733E+008 -2.0351073356293387E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0351073356293387E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1748939869519202E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.7734867834965550E-011
5 7.4416000000000000E-005 2.9999999999999871E-001 1.1624173893519445E+000 9.5794384877978189E-001 3.5732618411744084E+000 5.4773381348832233E+000 -2.2617832032515781E+000 1.1331508859195502E+001 6.9999999999999996E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -5.7043414041491500E+000 8.5000496627254163E-001 2.1648922271608004E+001 0.0000000000000000E+000 4.9990642361479677E+005 1.6012561482513678E+004 2.0639723043687758E+008 -2.0351073391451109E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0351073391451109E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1748939904676902E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.7667140081572102E-011
6 9.9299199999999986E-005 2.9999999999999821E-001 1.1603646020414846E+000 9.5791351182645312E-001 3.5727638128234580E+000 5.4773381452559704E+000 -2.2617831806218134E+000 1.1331508892348635E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -5.7043413869767727E+000 8.5000496627254163E-001 2.1648922246091619E+001 0.0000000000000000E+000 4.9985404610147537E+005 1.6089551364685218E+004 2.0737512111552560E+008 -2.0351073426509693E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0351073426509693E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1748939939735461E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.7591382617654859E-011
7 1.2915903999999998E-004 2.9999999999999771E-001 1.1580871503078694E+000 9.5787934698968447E-001 3.5722115323084385E+000 5.4773381571234809E+000 -2.2617831555119707E+000 1.1331508929507626E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -5.7043413691153688E+000 8.5000496627254163E-001 2.1648922219867252E+001 0.0000000000000000E+000 4.9979506622123561E+005 1.6175419442893040E+004 2.0846545810713285E+008 -2.0351073459425962E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0351073459425962E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1748939972651709E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.7507206344229301E-011
8 1.6499084799999998E-004 2.9999999999999705E-001 1.1555760839671732E+000 9.5784110919483556E-001 3.5716028846206886E+000 5.4773381705824011E+000 -2.2617831279036089E+000 1.1331508970791242E+001 6.9999999999999996E-001 2.9797635251138621E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274618E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -5.7043413508448602E+000 8.5000496627254141E-001 2.1648922193428529E+001 0.0000000000000000E+000 4.9972906331281445E+005 1.6270648210920335E+004 2.0967428501293141E+008 -2.0351073487448009E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0351073487448009E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1748940000673723E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.7414268404111301E-011
9 2.0798901759999997E-004 2.9999999999999633E-001 1.1528265157751383E+000 9.5779860748075285E-001 3.5709367434297214E+000 5.4773381857022301E+000 -2.2617830978298339E+000 1.1331509016239091E+001 6.9999999999999996E-001 2.9797635251138618E-005 2.7997020236474884E-001 4.1193902129486445E-003 1.2067031330276047E-003 1.1203876416666529E-002 2.5129237964844936E-003 9.5710644087274629E-004 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -5.7043413324725316E+000 8.5000496627254163E-001 2.1648922167307070E+001 0.0000000000000000E+000 4.9965571060926910E+005 1.6375588828212472E+004 2.1100596803837666E+008 -2.0351073507023255E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.0351073507023255E+001 -9.8999999999999986E+001 -9.8999999999999986E+001 -2.1748940020248934E+001 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 0.0000000000000000E+000 -9.8999999999999986E+001 0.0000000000000000E+000 0.0000000000000000E+000 -1.7312346261568300E-011
